题目内容,题目选项A,题目选项B,题目选项C,题目选项D,题目答案,类型,分值,难度,赛题分类（技术领域）,,,,,,
根据《中华人民共和国电子签名法》，能够有形地表现所载内容，并可以随时调取查用的数据电文，视为(          )的书面形式。,法规要求,符合法律、法规要求,符合法律,合法合理,2,单选,3,2,法律法规,,,,,,
《中华人民共和国反恐怖主义法》所称恐怖活动组织，是指（         ）以上为实施恐怖活动而组成的犯罪组织？,2人,3人,4人,5人,2,单选,3,2,法律法规,,,,,,
《中华人民共和国反恐怖主义法》规定，任何单位和个人都有协助，配合有关部门开展反恐怖主义工作的义务，发现恐怖活动嫌疑或者恐怖活动嫌疑人的，应当及时向（）报告。,公安机关,公安部,国家网信部门,当地政府,1,单选,3,2,法律法规,,,,,,
网络服务提供者拒不履行法律、行政法规规定的信息网络安全管理义务，经监管部门责令采取改正措施而拒不改正，致使用户的公民个人信息泄露，造成严重后果的，应当以（）定罪,扰乱互联网秩序罪,侵犯公民个人隐私罪,非法经营罪,拒不履行信息网络安全管理义务罪,4,单选,3,2,法律法规,,,,,,
根据《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释》（二），给商业秘密的权利人造成损失数额在（           ）以上的，属于刑法第二百一十九条规定的“造成特别严重后果”,一百万元,二百万元,二百五十万元,五百万元,3,单选,3,2,法律法规,,,,,,
根据《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释》（二），属于刑法第二百一十九条规定的“造成特别严重后果”，应当以侵犯商业秘密罪判处(          )，并处罚金。,三年以下有期徒刑或者拘役,三年以上七年以下有期徒刑,五年以下有期徒刑或者拘役,七年以上有期徒刑或者拘役,2,单选,3,2,法律法规,,,,,,
设立用于实施非法获取、出售或者提供公民个 人信息违法犯罪活动的网站、通讯群组，情节 严重的，应当以（）定罪处罚；同时构成侵犯 公民个人信息罪的，依照（）定罪处罚。,非法利用信息网络罪；非法获取公民个人隐私罪,扰乱互联网秩序罪；侵犯公民个人信息罪,拒不履行信息网络安全管理义务罪,非法利用信息网络罪；侵犯公民个人信息罪,4,单选,3,2,法律法规,,,,,,
内部信息安全管理组织中（）机构负责与信息安全有关 的教育和培训工作,安全审查和决策机构,安全主管机构,安全运行维护机构,安全培训机构,4,单选,3,2,法律法规,,,,,,
系统管理员的主要职责不包括（）,负责系统的运行管理，实施系统安全运行细则,负责设置和管理用户权限，维护系统安全正常运行,对操作网络管理功能的其他人员进行安全监督,对进行系统操作的其他人员予以安全监督,3,单选,3,2,法律法规,,,,,,
应用开发管理员的主要职责不包括（）,对系统核心技术保密等,不得对系统设置后门,系统投产运行前，完整移交系统相关的安全策略等资料,认真记录系统安全事项，及时向信息安全人员报告安全事件,4,单选,3,2,法律法规,,,,,,
下列选项属于应用开发管理员的主要职责的是（）,对系统核心技术保密等,对进行系统操作的其他人员予以安全监督,保障计算机网络设备、信息系统和配套的设施的安全，保障运行环境的安全,安全配置网络参数，严格控制网络用户访问权限，维护网络安全正常运行,1,单选,3,2,法律法规,,,,,,
安全管理员的主要职责不包括（）,保障计算机网络设备、信息系统和配套的设施的安全，保障运行环境的安全,负责落实互联网安全保护技术措施，并保障互联网安全保护技术措施功能的正常发挥,负责落实防范计算机病毒、网络入侵和攻击破坏等危害网络安全事项或者行为的技术措施,不得对系统设置后门,4,单选,3,2,法律法规,,,,,,
ISMS体系中，（）涉及结合信息系统的实际情况、客户需要、项目特点等确定试运行的时间，在ISMS正式运行前对体系进行试运行。。,准备阶段,实施阶段,运行及改善阶段,PDCA循环,3,单选,3,2,法律法规,,,,,,
（）是指单位、组织根据自身业务特点和具体情况所制定的信息安全管理办法和规范，必须符合国家信息安全相关法律、法规的规定，不得违背。,合法性管理,合规性管理,有效性管理,规范性管理,2,单选,3,2,法律法规,,,,,,
以下法律中没有对网络违法犯罪进行规定的包括（）。,《关于维护互联网安全的决定》,《刑法》,《民法》,《治安管理处罚法》,3,单选,3,2,法律法规,,,,,,
“致使违法信息大量传播的”属于（）的相关描述。,破坏计算机信息系统罪,非法利用信息网络罪,拒不履行信息网络安全管理义务罪,非法控制计算机信息系统罪,3,单选,3,2,法律法规,,,,,,
“致使刑事案件证据灭失，情节严重的”属于（）的相 关描述。,破坏计算机信息系统罪,非法利用信息网络罪,拒不履行信息网络安全管理义务罪,非法控制计算机信息系统罪,3,单选,3,2,法律法规,,,,,,
“违反国家规定，对计算机信息系统功能进行删除、修 改、增加、干扰，造成计算机信息系统不能正常运行” 属于（）的相关描述。,破坏计算机信息系统罪,非法利用信息网络罪,拒不履行信息网络安全管理义务罪,帮助信息网络犯罪活动罪,1,单选,3,2,法律法规,,,,,,
“明知他人利用信息网络实施犯罪，为其犯罪提供广告 推广、支付结算”属于（）的相关描述。,破坏计算机信息系统罪,非法利用信息网络罪,拒不履行信息网络安全管理义务罪,帮助信息网络犯罪活动罪,4,单选,3,2,法律法规,,,,,,
《治安管理处罚法》第29条规定的网络违法行为包括（）。,违反国家规定，侵入计算机信息系统，造成危害的,违反国家规定，对计算机信息系统功能进行删除、修改、增加、干扰，造成计算机信息系统不能正常运行的,违反国家规定，对计算机信息系统中存储、处理、传输的数据和应用程序进行删除、修改、增加的,故意制作、传播淫秽、暴力等内容，影响社会安全稳定的,4,单选,3,2,法律法规,,,,,,
（）将原来散见于各种法规、规章中的规定上升到法律 层面，对网络运营者等主体的法律义务和责任作了全面 规定。,《治安管理处罚法》,《网络安全法》,《关于维护互联网安全的决定》,《刑法》,2,单选,3,2,法律法规,,,,,,
（）提出对计算机信息系统实行安全等级保护。,《电信条例》,《计算机信息系统安全保护条例》,《计算机信息网络国际联网安全保护管理办法》,《互联网信息服务管理办法》,2,单选,3,2,法律法规,,,,,,
违反计算机信息系统安全等级保护制度，危害计算机信息系统安全的，由公安机关处以（）,拘留,有期徒刑,警告或者停机整顿,无期徒刑,3,单选,3,2,法律法规,,,,,,
有危害计算机信息系统安全的其他行为，由公安机关处以（）,拘留,有期徒刑,警告或者停机整顿,无期徒刑,3,单选,3,2,法律法规,,,,,,
《信息安全产品测评认证管理办法》根据信息产品安全测评认证对象和要素的不同，将信息安全产品认证分为四种类型，其中不包括（）。,产品功能认证,产品认证,信息系统安全认证,信息安全服务认证,1,单选,3,2,法律法规,,,,,,
认证的通用程序依次包括：申请认证，产品形式试验，（），颁发证书，证后监督(现场抽样检验和质量体系现场检查，每年至少一次)，复评(三年一次)。,产品评估,质量体系评定,产品检测,质量评级,2,单选,3,2,法律法规,,,,,,
《信息安全等级保护管理办法》将信息系统的安全保护等级分为（），以更好地保护信息系统的安全,二级,三级,四级,五级,4,单选,3,2,法律法规,,,,,,
国家密码管理局对商用密码产品生产定点单位进行考核的周期为（）。,季度,一年,三年,五年,2,单选,3,2,法律法规,,,,,,
《境外组织和个人在华使用密码产品管理办法》规定，进口密码产品以及含有密码技术的设备或者出口商用密码产品，必须报经（）批准。,公安机关,地方政府,国家网信办,国家密码管理局,4,单选,3,2,法律法规,,,,,,
在密码产品管控中，密码产品入境时，外商投资企业应当向海关如实申报并提交密码产品（），海关凭此办理验放手续。,进口许可证,入网许可证,信息安全产品认证,密码产品资质,1,单选,3,2,法律法规,,,,,,
（）是为规范电子签名行为，确立电子签名的法律效 力，维护有关各方的合法权益制定的。,《商用密码产品销售管理规定》,《网络安全法》,《电子签名法》,《电子认证服务管理办法》,3,单选,3,2,法律法规,,,,,,
